"Name","SizeKB","LastWriteTime"
"find-gmail-users.ts","0,5","18/02/2026 11:37:10"
"find-queue-logs.ts","1,5","16/02/2026 11:29:58"
"fix-admin.ts","1,9","14/02/2026 18:16:29"
"fix-blobs-visibility.ts","0,8","16/02/2026 11:29:58"
"fix-default-tenant.ts","2,2","16/02/2026 11:29:58"
"fix-graph-explorer.ts","1,4","16/02/2026 11:29:58"
"fix-mfa-inconsistency.ts","1,3","16/02/2026 11:29:58"
"fix-profile-routes.ts","1","16/02/2026 11:29:58"
"fix-tenants-sync.ts","3,1","16/02/2026 11:29:58"
"force-brown-branding.ts","1,7","16/02/2026 11:29:58"
"force-restore-asset.ts","1,4","16/02/2026 11:29:58"
"force-sync-i18n.ts","2","16/02/2026 11:29:58"
"get-error-to-file.ts","1,2","16/02/2026 11:29:58"
"get-failed-asset.ts","1,1","16/02/2026 11:29:58"
"get-full-url.ts","0,9","16/02/2026 11:29:58"
"global-logs.ts","0,9","14/02/2026 18:16:29"
"global-logs-raw.ts","0,8","14/02/2026 18:16:29"
"global-user-search.ts","1,9","16/02/2026 11:29:58"
"i18n-audit.js","10","16/02/2026 11:29:58"
"i18n-cleanup.ts","28,3","22/02/2026 17:00:50"
"i18n-fix-placeholders.js","9,3","16/02/2026 11:29:58"
"i18n-split.js","4,3","16/02/2026 11:29:58"
"i18n-tool.ts","4,1","16/02/2026 11:29:58"
"ingest-stats.ts","1,3","16/02/2026 11:29:58"
"inspect-all-logs.ts","1,6","16/02/2026 11:29:58"
"inspect-auth-cluster.ts","1,9","16/02/2026 11:29:58"
"inspect-blobs-raw.ts","0,7","16/02/2026 11:29:58"
"inspect-chunks.ts","2,4","22/02/2026 9:52:11"
"inspect-doc-types.ts","0,8","16/02/2026 11:29:58"
"inspect-duplicates.ts","1,4","16/02/2026 11:29:58"
"inspect-i18n.ts","1,5","16/02/2026 11:29:58"
"inspect-logs.ts","1,7","16/02/2026 11:29:58"
"inspect-pdf-module.ts","1,3","16/02/2026 11:29:58"
"inspect-pdf-prototype.ts","1,4","16/02/2026 11:29:58"
"inspect-superadmin.ts","1,5","16/02/2026 11:29:58"
"inspect-tenant.ts","1,1","22/02/2026 2:39:42"
"inspect-user.ts","1,1","16/02/2026 11:29:58"
"last-ingest-error.ts","1,1","14/02/2026 18:16:29"
"last-logs.ts","0,9","14/02/2026 18:16:29"
"last-logs-simple.ts","0,8","14/02/2026 18:16:29"
"list-all.js","0,9","21/02/2026 9:34:40"
"list-assets.ts","1,3","16/02/2026 11:29:58"
"list-collections.js","0,5","21/02/2026 9:33:19"
"list-collections.ts","0,7","16/02/2026 11:29:58"
"list-collections-robust.ts","1","16/02/2026 11:29:58"
"list-cols.ts","0,5","14/02/2026 18:16:29"
"list-dbs.ts","0,6","16/02/2026 11:29:58"
"list-gemini-models.js","1,1","16/02/2026 11:29:58"
"list-gemini-models.ts","1,1","22/02/2026 2:55:35"
"list-keys.ts","1","16/02/2026 11:29:58"
"list-logs-cols.ts","0,6","14/02/2026 18:16:29"
"list-models.ts","1,6","22/02/2026 0:52:29"
"list-models-to-file.ts","0,8","22/02/2026 2:57:01"
"list-prompts.ts","0,8","14/02/2026 18:16:29"
"list-users.ts","1,2","16/02/2026 11:29:58"
"live-model-diagnostic.ts","2,2","22/02/2026 9:27:22"
"make-fake-history.ts","5,7","22/02/2026 2:11:13"
"merge-translations.py","1,9","27/02/2026 23:04:12"
"middleware-logs.ts","0,9","14/02/2026 18:16:29"
"migrate-asset-index.ts","1,7","16/02/2026 11:29:58"
"migrate-blobs.ts","3,1","16/02/2026 11:29:58"
"migrate-docs-multi-tenant.ts","5,3","16/02/2026 11:29:58"
"migrate-gemini-models.ts","2,7","22/02/2026 2:26:19"
"migrate-imports.js","2,3","14/02/2026 17:09:19"
"migrate-indexes-partial.ts","1,8","16/02/2026 11:29:58"
"migrate-legacy-i18n.ts","3,6","16/02/2026 11:29:58"
"migrate-logging-keys.js","2,5","14/02/2026 17:09:19"
"migrate-production.ts","3","14/02/2026 18:16:29"
"migrate-to-auth-db.ts","1,9","14/02/2026 18:16:29"
"migrate-to-ontology.ts","11,5","14/02/2026 18:16:29"
"migrate-ui-keys.js","3,5","14/02/2026 17:09:19"
"migration_output.log","1,1","22/02/2026 9:17:11"
"minimal-db-test.ts","0,9","14/02/2026 18:16:29"
"minimal-id-check.ts","1","16/02/2026 11:29:58"
"normalize-i18n-split.ts","2,5","16/02/2026 11:29:58"
"print-error-details.js","1","16/02/2026 11:29:58"
"print-internal-error.js","1,1","16/02/2026 11:29:58"
"print-logs.ts","0,9","14/02/2026 18:16:29"
"promote-user.ts","1,1","16/02/2026 11:29:58"
"quick-check.ts","0,6","14/02/2026 18:16:29"
"rag-debug-search.ts","2,5","22/02/2026 10:20:38"
"read-error-logs.ts","0,8","22/02/2026 2:36:50"
"read-tenant-logs.ts","1,5","16/02/2026 11:29:58"
"recover-i18n-keys.ts","6,8","16/02/2026 11:29:58"
"relevant-logs.ts","1","14/02/2026 18:16:29"
"reset.log","6,7","22/02/2026 3:09:40"
"reset-asset.ts","1","16/02/2026 11:29:58"
"reset-rag-breaker.ts","1,5","22/02/2026 3:08:08"
"reset-users.ts","2,7","14/02/2026 18:16:29"
"retry-failed-asset.ts","1,3","16/02/2026 11:29:58"
"save-url.js","1,1","16/02/2026 11:29:58"
"search-all-legacy.ts","1,2","22/02/2026 2:44:41"
"seed-evaluations.ts","2,7","22/02/2026 2:08:16"
"seed-notifications.ts","2,5","14/02/2026 18:16:29"
"seed-plans.ts","1,4","26/02/2026 12:20:57"
"seed-plans-v2.ts","0,8","14/02/2026 18:16:29"
"seed-prompts.ts","0,8","22/02/2026 10:59:48"
"seed-prompts-dynamic.ts","14,7","22/02/2026 2:08:06"
"seed-synthetic-tenants.ts","4,9","14/02/2026 18:16:29"
"seed-taxonomies.ts","3,1","14/02/2026 18:16:29"
"seed-users.ts","2,7","14/02/2026 18:16:29"
"seed-users-standalone.ts","3,1","14/02/2026 18:16:29"
"seed-visual-prompt.ts","2","14/02/2026 18:16:29"
"seed-workflows.ts","2,4","14/02/2026 18:16:29"
"setup-db-pro.ts","2,9","14/02/2026 18:16:29"
"simple-check.ts","0,9","16/02/2026 11:29:58"
"simulate-auth.ts","1,6","16/02/2026 11:29:58"
"simulate-save.ts","1,9","16/02/2026 11:29:58"
"simulate-save-manual.ts","2,5","16/02/2026 11:29:58"
"stress-test-ingest.ts","3,8","14/02/2026 18:16:29"
"sync-all-i18n.ts","1,2","17/02/2026 0:48:17"
"sync-i18n.mts","1","24/02/2026 14:28:39"
"sync-prompts.ts","1,1","19/02/2026 16:24:21"
"sync-work-context-prompts.ts","2,2","20/02/2026 0:50:49"
"temp-check-logs.ts","0,8","14/02/2026 18:16:29"
"test-agent-rag.ts","1,9","14/02/2026 18:16:29"
"test-backup-compliance.ts","0,8","14/02/2026 18:16:29"
"test-billing-circuit-breaker.ts","2,4","16/02/2026 11:29:58"
"test-chunking.ts","2,1","16/02/2026 11:29:58"
"test-db.ts","0,6","16/02/2026 11:29:58"
"test-db-direct.ts","1,8","14/02/2026 18:16:29"
"test-default-tenant.ts","1,2","16/02/2026 11:29:58"
"test-direct.log","5,5","22/02/2026 2:52:33"
"test-direct-gemini.ts","0,9","22/02/2026 2:51:21"
"test-embedding.ts","0,9","14/02/2026 18:16:29"
"test-ephemeral.ts","0,7","14/02/2026 18:16:29"
"test-fetch.js","1,6","16/02/2026 11:29:58"
"test-gemini.ts","1","22/02/2026 2:10:34"
"test-gemini-connection.ts","1,4","14/02/2026 18:16:29"
"test-gemini-final.ts","0,8","14/02/2026 18:16:29"
"test-gemini-models.js","1,5","22/02/2026 2:10:44"
"test-gemini-models.ts","1,3","22/02/2026 2:10:23"
"test-graph-extraction.ts","1,6","16/02/2026 11:29:58"
"test-graph-retrieval.ts","1,4","16/02/2026 11:29:58"
"test-import.ts","0,6","16/02/2026 11:29:58"
"test-import-debug.ts","0,9","19/02/2026 10:07:51"
"test-import-esm.ts","0,9","16/02/2026 11:29:58"
"test-ingest-zod.ts","1,7","16/02/2026 11:29:58"
"test-isolation.ts","1,4","14/02/2026 18:16:29"
"test-llm.js","0,5","21/02/2026 20:37:23"
"test-log.ts","0,6","14/02/2026 18:16:29"
"test-mfa-logic.ts","2,5","14/02/2026 18:16:29"
"test-models.ts","0,9","20/02/2026 19:54:40"
"test-neo4j.ts","1,1","16/02/2026 11:29:58"
"test-pdf-class.ts","1,4","16/02/2026 11:29:58"
"test-pdf-extraction.ts","2,2","16/02/2026 11:29:58"
"test-pdf-final.ts","1,6","16/02/2026 11:29:58"
"test-pdf-parse.js","1","16/02/2026 11:29:58"
"test-pdf-parse.ts","0,6","16/02/2026 11:29:58"
"test-pdf-return.ts","1,6","16/02/2026 11:29:58"
"test-rag-fix.log","101,5","22/02/2026 2:52:20"
"test-rag-fix.ts","1","22/02/2026 2:29:24"
"test-restore-final.ts","2,1","16/02/2026 11:29:58"
"test-workflow-e2e.ts","3,5","14/02/2026 18:16:29"
"tsconfig.json","0,5","16/02/2026 11:29:58"
"validate-tenant-config.ts","1,4","16/02/2026 11:29:58"
"verify-backup-integrity.ts","2,5","16/02/2026 11:29:58"
"verify-billing-contract.ts","2,6","16/02/2026 11:29:58"
"verify-dual-index.ts","3","14/02/2026 18:16:29"
"verify-dynamic-i18n.ts","2,5","14/02/2026 18:16:29"
